Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly) 
 07/21  11:00:00,27.649,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.757188890088327,29.599630650444284,149.1804470800359,152.24054467388585 
 07/21  12:00:00,29.454,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.102225642771477,29.98113704792313,112.48514913357852,117.64852696031557 
 07/21  13:00:00,30.784,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.429429887164554,30.292367653636825,120.76346549753838,114.03970277355714 
 07/21  14:00:00,31.715,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.837215507708078,30.696923927371054,144.7561898114359,146.14408279071706 
 07/21  15:00:00,32.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.149646567865529,31.07418362208152,109.58451720218867,115.49200834016716 
 07/21  16:00:00,31.43,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.297283982467005,31.315104774360206,53.33500103154636,61.20186617343149 
 07/21  17:00:00,30.328,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.28851291351196,31.397931219510384,10.189456101866004,13.616301809353484 
 07/21  18:00:00,28.922,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.162787837851789,31.360988822554579,-48.88792656105582,-37.08069095544032 
 07/21  19:00:00,26.927,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.688404150599838,31.016511696109146,-203.24132873139835,-179.64679602131768 
 07/21  20:00:00,25.027,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.11345558141636,30.342829525392177,-196.32767481346469,-217.55244302414949 
 07/21  21:00:00,23.544999999999999,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.81150094051525,29.955797108853895,-98.71309199269283,-101.76195646274639 
 07/21  22:00:00,22.177,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5411653737892,29.685387657322975,-93.30188964344882,-92.85383630555032 
 07/21  23:00:00,20.999000000000004,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.268307084624124,29.41517270513525,-93.23285284336633,-93.42009586908486 
 07/21  24:00:00,19.935000000000004,0.0,9.,0.0,30412800.0,0.0,-30412800.0,29.362154978582553,27.567086837900637,1.0620255954497762,9.784018940389338,29.50853554660145,30.173779295582166,1.07917944877986,11.644276128296058,29.259472750393884,25.62748741998522,0.8723124828208836,11.653591987545696,29.493483295877259,30.030755557783267,1.0800947671587483,11.650486656365454,29.461003227250818,29.460984213665915,0.9636762752258267,29.54142735443313,32.35546432644239,0.8072598703597372,13.3889067752431,28.989353274085397,29.142064148400367,-96.54445082860497,-95.96771145171597 
