Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/03  03:00:00,11.283333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.730911601988628 
 01/03  04:00:00,13.191666666666669,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.857198840048356 
 01/03  05:00:00,13.258333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.884240512339458 
 01/03  06:00:00,12.450000000000001,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.80230763420151 
 01/03  07:00:00,11.558333333333332,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.712798954969036 
 01/03  08:00:00,11.1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.638809675821077 
 01/03  09:00:00,11.450000000000001,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.642741097706624 
 01/03  10:00:00,12.633333333333333,21.0,21.0,21.099953953987244,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.748686780103346 
 01/03  11:00:00,12.658333333333334,21.0,21.0,21.64709735599405,21.0,21.0,21.0,21.0,21.15564947064406,21.0,21.0,17.844070149271955 
 01/03  12:00:00,13.833333333333334,21.0,21.0,22.059573626992458,21.0,21.0,21.0,21.0,21.523163025827349,21.118819380663707,21.0,17.97383517318539 
 01/03  13:00:00,15.35,21.0,21.0,22.753907492123195,21.0,21.0,21.0,21.0,22.210089209480615,21.550987326599956,21.0,18.190310907354275 
 01/03  14:00:00,15.891666666666666,21.0,21.0,23.247218832516947,21.0,21.0,21.0,21.0,22.6986193739756,21.825546285025877,21.0,18.331385929130943 
 01/03  15:00:00,16.099999999999999,21.0,21.0,23.264581627214967,21.0,21.0,21.0,21.0,22.72944537649421,21.79626832534476,21.0,18.446350530752317 
 01/03  16:00:00,14.816666666666669,21.0,21.0,22.885155651008874,21.0,21.0,21.0,21.0,22.391477475167155,21.539194554836077,21.0,18.444542492315539 
 01/03  17:00:00,13.9,21.0,21.0,22.182272255484937,21.0,21.0,21.0,21.0,21.721422751942318,21.09536599511703,21.0,18.374538515096238 
 01/03  18:00:00,13.258333333333333,21.0,21.0,21.81809027908335,21.0,21.0,21.0,21.0,21.373460233475006,21.0,21.0,18.29289345467325 
 01/03  19:00:00,12.450000000000001,21.0,21.0,21.632810985182677,21.0,21.0,21.0,21.0,21.199786991311016,21.0,21.0,18.186930047465155 
 01/03  20:00:00,11.266666666666666,21.0,21.0,21.44790539278924,21.0,21.0,21.0,21.0,21.04488930682196,21.0,21.0,18.077141550706107 
 01/03  21:00:00,10.25,21.0,21.0,21.214870543574269,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.964728750070024 
 01/03  22:00:00,9.358333333333335,21.0,21.0,21.029236931616035,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.87264621476605 
 01/03  23:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.796187345879774 
 01/03  24:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.758652284959657 
 01/04  01:00:00,8.549999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.70399695541623 
 01/04  02:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.629038648529769 
 01/04  03:00:00,8.091666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.58531339543683 
 01/04  04:00:00,7.016666666666668,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.493047962057003 
 01/04  05:00:00,5.108333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.31514491639028 
 01/04  06:00:00,5.391666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.246152637972878 
 01/04  07:00:00,5.458333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.21635819541034 
 01/04  08:00:00,5.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.184801613408508 
 01/04  09:00:00,7.633333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.25978958061175 
 01/04  10:00:00,8.65,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.335312780950678 
 01/04  11:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.366390731730389 
 01/04  12:00:00,9.541666666666666,21.0,21.0,21.002521237649366,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.42957329750173 
 01/04  13:00:00,10.350000000000002,21.0,21.0,21.120767005421255,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.5467710692872 
 01/04  14:00:00,10.600000000000002,21.0,21.0,21.572950628997224,21.0,21.0,21.0,21.0,21.127507755057076,21.0,21.0,17.629673760980649 
 01/04  15:00:00,10.25,21.0,21.0,21.22896006537875,21.0,21.0,21.0,21.0,21.003067645957299,21.0,21.0,17.66395026356705 
 01/04  16:00:00,10.350000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.670051713554846 
 01/04  17:00:00,10.25,21.0,21.0,21.0,21.0,21.000000000000005,21.0,21.0,21.0,21.0,21.0,17.658725839908376 
 01/04  18:00:00,10.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.604995739571696 
 01/04  19:00:00,9.65,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.56112045809321 
 01/04  20:00:00,9.4,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.52037881847262 
 01/04  21:00:00,9.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.484517251714708 
 01/04  22:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.443020885201827 
 01/04  23:00:00,7.908333333333335,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.361395200449114 
 01/04  24:00:00,7.841666666666666,21.0,21.0,21.0,21.000000000000005,21.0,21.0,21.0,21.0,21.0,21.0,17.30011388213228 
 01/05  01:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.28800445114541 
 01/05  02:00:00,7.799999999999998,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.240578254254353 
 01/05  03:00:00,6.166666666666667,21.0,21.0,21.0,21.0,21.000000000000005,21.0,21.0,21.0,21.0,21.0,17.11980348735828 
 01/05  04:00:00,4.3583333333333329,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.94423893351966 
 01/05  05:00:00,4.191666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.864820914113129 
 01/05  06:00:00,4.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.81614173517982 
 01/05  07:00:00,5.183333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.821981495211959 
 01/05  08:00:00,6.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.88058390930992 
 01/05  09:00:00,6.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.90241514842614 
 01/05  10:00:00,7.2,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.92913385935105 
 01/05  11:00:00,7.841666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.9919533022431 
 01/05  12:00:00,8.65,21.0,21.0,21.124551850111,21.0,21.0,21.0,21.0,21.001819397166775,21.0,21.0,17.11230688337289 
 01/05  13:00:00,9.191666666666667,21.0,21.0,21.81678837177576,21.0,21.0,21.0,21.0,21.369172552028627,21.004848588548496,21.0,17.229731998593846 
 01/05  14:00:00,10.1,21.0,21.0,22.42041318181528,21.0,21.0,21.0,21.0,21.928684785013606,21.18287827321812,21.0,17.376803405413303 
 01/05  15:00:00,10.891666666666666,21.0,21.0,22.58212241965498,21.0,21.0,21.0,21.0,22.077948934735585,21.221689612748475,21.0,17.53756238311661 
 01/05  16:00:00,10.458333333333334,21.0,21.0,22.215175142953816,21.0,21.0,21.0,21.0,21.731173182719023,21.034098951398865,21.0,17.593824992124316 
 01/05  17:00:00,10.350000000000002,21.0,21.0,21.243838643923334,21.0,21.0,21.0,21.0,21.034000069217055,21.0,21.0,17.57778298888859 
 01/05  18:00:00,9.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.506446602768837 
 01/05  19:00:00,9.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.399302474824194 
 01/05  20:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.34798961648139 
 01/05  21:00:00,8.258333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.289042340754347 
 01/05  22:00:00,8.091666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.23972486272906 
 01/05  23:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.214402424448374 
 01/05  24:00:00,7.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.149983865006438 
 01/06  01:00:00,7.2,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.095091889132865 
 01/06  02:00:00,6.908333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.044515639121426 
 01/06  03:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.991341913884978 
 01/06  04:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.955303971274718 
 01/06  05:00:00,6.3500000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.9023005863102 
 01/06  06:00:00,6.1000000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.844976942933348 
 01/06  07:00:00,5.808333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.792153783230309 
 01/06  08:00:00,5.25,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.718444174141387 
 01/06  09:00:00,5.3500000000000009,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.68877900306392 
 01/06  10:00:00,5.891666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.735373722559719 
 01/06  11:00:00,6.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.80491790425998 
 01/06  12:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.84877179808609 
 01/06  13:00:00,6.991666666666667,21.0,21.0,21.025926609078174,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.888755869815694 
 01/06  14:00:00,7.55,21.0,21.0,21.36948345770826,21.0,21.0,21.0,21.0,21.012221877316138,21.0,21.0,16.990998013118824 
 01/06  15:00:00,8.091666666666667,21.0,21.0,21.584690736401084,21.0,21.0,21.0,21.0,21.119135646273759,21.0,21.0,17.097152622307179 
 01/06  16:00:00,8.299999999999999,21.0,21.0,21.37075485819733,21.0,21.0,21.0,21.0,21.01558209492767,21.0,21.0,17.169431787082435 
 01/06  17:00:00,8.299999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.180981600977579 
 01/06  18:00:00,8.299999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.14220376469488 
 01/06  19:00:00,8.299999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.110825450962179 
 01/06  20:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.075811002706087 
 01/06  21:00:00,7.158333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.005551621808917 
 01/06  22:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,20.999999999999998,21.0,21.0,21.0,21.0,16.94157397728068 
 01/06  23:00:00,8.625,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.01819561444052 
 01/06  24:00:00,9.358333333333335,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.09290802559237 
 01/07  01:00:00,9.191666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.999999999999998,21.0,21.0,17.06036494250358 
 01/07  02:00:00,9.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.04345112531606 
 01/07  03:00:00,7.266666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.913773983099916 
 01/07  04:00:00,6.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.79596627283502 
 01/07  05:00:00,6.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.792669823267418 
 01/07  06:00:00,7.841666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.817932223318178 
