Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/03  01:00:00,9.191666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.509353801073876 
 01/03  02:00:00,9.75,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.516731264977286 
 01/03  03:00:00,11.283333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.58569810507638 
 01/03  04:00:00,13.191666666666669,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.71807277453104 
 01/03  05:00:00,13.258333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.748416310678605 
 01/03  06:00:00,12.450000000000001,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.669541034090544 
 01/03  07:00:00,11.558333333333332,21.0,21.0,21.0,21.0,21.0,21.000000000000005,21.0,21.0,21.0,21.0,17.58072062185671 
 01/03  08:00:00,11.1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.50788441694059 
 01/03  09:00:00,11.450000000000001,21.304954209502936,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.515063451458354 
 01/03  10:00:00,12.633333333333333,22.209513425754947,21.0,21.0,21.0,21.0,20.995501701658328,21.0,21.0,21.0,21.0,17.617326834611558 
 01/03  11:00:00,12.658333333333334,22.244918281450724,21.0,21.0,21.0,21.0,20.996365852324734,21.0,21.0,21.0,21.0,17.68717168203776 
 01/03  12:00:00,13.833333333333334,21.671391261305926,21.0,21.0,20.999999999999998,21.0,21.0,21.0,21.0,21.0,21.0,17.769375288743569 
 01/03  13:00:00,15.35,21.404279870107485,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.930543342726027 
 01/03  14:00:00,15.891666666666666,21.446849093521466,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,18.01306504264464 
 01/03  15:00:00,16.099999999999999,21.557372410444918,21.0,21.04562674706902,21.0,21.0,21.0,21.0,21.0,21.0,21.0,18.09175303896838 
 01/03  16:00:00,14.816666666666669,21.464091818342138,21.0,21.166318304758574,21.0,21.0,21.0,21.0,21.0,21.0,21.0,18.0889434464759 
 01/03  17:00:00,13.9,21.21409835519636,21.0,21.00177846937799,21.0,21.0,21.0,21.0,21.0,21.0,21.0,18.04865193326277 
 01/03  18:00:00,13.258333333333333,21.154802124438729,21.0,21.0,20.999999999999998,21.0,21.0,21.0,21.0,21.0,21.0,18.012443411498979 
 01/03  19:00:00,12.450000000000001,21.09653499390598,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.946474217354429 
 01/03  20:00:00,11.266666666666666,21.014963545130795,21.0,21.0,21.0,21.0,21.0,21.0,21.000000000000005,21.0,21.0,17.864084399089433 
 01/03  21:00:00,10.25,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.7711638756799 
 01/03  22:00:00,9.358333333333335,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.69321803286402 
 01/03  23:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.62673946910279 
 01/03  24:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.596913523344033 
 01/04  01:00:00,8.549999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.548115553677265 
 01/04  02:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.47764949397929 
 01/04  03:00:00,8.091666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.437779197276837 
 01/04  04:00:00,7.016666666666668,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.348734996888117 
